Município,Ano de Referência,Coletado,Recicláveis,Papel e Papelão,Plástico,Metais,Vidros,Outros
Pereira Barreto,2022,3500.30,215.00,50.00,50.00,80.00,25.00,10.00
Pereiras,2022,1677.00,,,,,,
Peruíbe,2022,31544.00,27.70,11.60,5.80,2.70,7.40,0.20
Piacatu,2022,1600.00,52.00,52.00,0.00,0.00,0.00,0.00
Piedade,2022,13784.30,30.00,8.00,10.00,5.00,2.00,5.00
Pilar do Sul,2022,5870.00,250.00,,,,,
Pindamonhangaba,2022,41151.00,75.40,16.60,6.00,2.10,5.60,45.10
Pindorama,2022,3510.00,,,,,,
Pinhalzinho,2022,3968.00,105.00,10.00,35.00,50.00,5.00,5.00
Piquerobi,2022,528.00,61.00,20.00,14.00,2.00,7.00,18.00
Piquete,2022,1928.70,,,,,,
Piracaia,2022,7758.40,230.00,103.00,67.00,18.00,42.00,0.00
Piracicaba,2022,185205.60,6120.10,641.40,772.70,389.70,296.30,4020.00
Piraju,2022,7283.20,585.80,307.30,138.70,32.60,102.30,4.90
Pirajuí,2022,4266.30,181.00,87.00,31.00,37.00,13.00,13.00
Pirangi,2022,4327.50,,,,,,
Pirapozinho,2022,11640.60,643.50,397.00,102.00,81.00,42.00,21.50
Pirassununga,2022,13680.00,,,,,,
Piratininga,2022,3482.30,205.80,,,,,
Pitangueiras,2022,15940.00,,,,,,
Planalto,2022,1325.00,,,,,,
Platina,2022,722.00,65.00,30.00,11.00,6.00,10.00,8.00
Poá,2022,31254.00,378.00,,,,,
Poloni,2022,1186.00,75.00,,,,,
Pompéia,2022,5898.20,450.00,296.00,67.00,50.50,36.50,0.00
Pongaí,2022,906.00,175.00,59.00,58.00,37.50,9.50,11.00
Pontal,2022,12780.00,52.70,13.00,14.00,6.70,13.00,6.00
Pontalinda,2022,1305.00,30.00,,,,,
Pontes Gestal,2022,252.00,8.00,0.00,8.00,0.00,0.00,0.00
Populina,2022,800.00,,,,,,
Porangaba,2022,2654.00,39.00,12.00,9.00,4.00,9.00,5.00
Porto Feliz,2022,15884.10,419.70,169.70,170.00,44.00,36.00,0.00
Porto Ferreira,2022,15832.00,,,,,,
Potim,2022,3565.00,89.00,,,,,
Potirendaba,2022,6000.00,,,,,,
Pracinha,2022,412.00,,,,,,
Pradópolis,2022,4700.00,,,,,,
Praia Grande,2022,151883.20,2005.60,950.50,440.90,316.70,232.80,64.70
Pratânia,2022,1600.00,49.00,10.00,30.00,4.00,4.00,1.00
Presidente Alves,2022,602.00,14.00,2.00,3.00,7.00,1.00,1.00
Presidente Bernardes,2022,2730.00,270.00,,,,,
Presidente Epitácio,2022,12857.50,1319.30,360.60,261.50,201.80,320.70,174.70
Presidente Prudente,2022,104300.00,5220.00,,,,,
Presidente Venceslau,2022,10335.00,235.00,100.00,40.00,60.00,25.00,10.00
Promissão,2022,6553.30,300.00,75.90,12.90,147.30,60.30,3.60
Quadra,2022,1050.00,126.00,35.00,39.00,43.00,1.00,8.00
